,mn_sat,income,gender,match,log_mn_sat,log_income
3516,1140,41476,1,0,7.038783541388542,10.632870225678168
3517,1140,41476,1,0,7.038783541388542,10.632870225678168
3518,1140,41476,1,0,7.038783541388542,10.632870225678168
3519,1140,41476,1,0,7.038783541388542,10.632870225678168
3520,1140,41476,1,0,7.038783541388542,10.632870225678168
3521,1140,41476,1,0,7.038783541388542,10.632870225678168
3522,1140,41476,1,0,7.038783541388542,10.632870225678168
3523,1140,41476,1,0,7.038783541388542,10.632870225678168
3524,1140,41476,1,1,7.038783541388542,10.632870225678168
3534,1360,49841,1,0,7.215239978730097,10.816593217465508
3535,1360,49841,1,1,7.215239978730097,10.816593217465508
3536,1360,49841,1,0,7.215239978730097,10.816593217465508
3537,1360,49841,1,0,7.215239978730097,10.816593217465508
3538,1360,49841,1,0,7.215239978730097,10.816593217465508
3539,1360,49841,1,0,7.215239978730097,10.816593217465508
3540,1360,49841,1,0,7.215239978730097,10.816593217465508
3541,1360,49841,1,1,7.215239978730097,10.816593217465508
3542,1360,49841,1,1,7.215239978730097,10.816593217465508
4074,1309,80608,1,0,7.1770187659099,11.297353179152337
4075,1309,80608,1,0,7.1770187659099,11.297353179152337
4076,1309,80608,1,0,7.1770187659099,11.297353179152337
4077,1309,80608,1,0,7.1770187659099,11.297353179152337
4078,1309,80608,1,0,7.1770187659099,11.297353179152337
4079,1309,80608,1,0,7.1770187659099,11.297353179152337
4080,1309,80608,1,1,7.1770187659099,11.297353179152337
4081,1309,80608,1,0,7.1770187659099,11.297353179152337
4082,1309,80608,1,1,7.1770187659099,11.297353179152337
4083,1309,80608,1,1,7.1770187659099,11.297353179152337
4084,1309,80608,1,0,7.1770187659099,11.297353179152337
4085,1309,80608,1,0,7.1770187659099,11.297353179152337
4086,1309,80608,1,0,7.1770187659099,11.297353179152337
4087,1309,80608,1,0,7.1770187659099,11.297353179152337
4088,1309,80608,1,0,7.1770187659099,11.297353179152337
4089,1309,80608,1,0,7.1770187659099,11.297353179152337
4090,1309,80608,1,1,7.1770187659099,11.297353179152337
4091,1309,80608,1,0,7.1770187659099,11.297353179152337
4092,1309,80608,1,1,7.1770187659099,11.297353179152337
4093,1309,80608,1,0,7.1770187659099,11.297353179152337
4094,1309,80608,1,0,7.1770187659099,11.297353179152337
4326,1380,53196,1,0,7.22983877815125,10.881738484533054
4327,1380,53196,1,0,7.22983877815125,10.881738484533054
4328,1380,53196,1,0,7.22983877815125,10.881738484533054
4329,1380,53196,1,0,7.22983877815125,10.881738484533054
4330,1380,53196,1,0,7.22983877815125,10.881738484533054
4331,1380,53196,1,0,7.22983877815125,10.881738484533054
4332,1380,53196,1,0,7.22983877815125,10.881738484533054
4333,1380,53196,1,0,7.22983877815125,10.881738484533054
4334,1380,53196,1,0,7.22983877815125,10.881738484533054
4335,1380,53196,1,0,7.22983877815125,10.881738484533054
4336,1380,53196,1,0,7.22983877815125,10.881738484533054
4337,1380,53196,1,1,7.22983877815125,10.881738484533054
4338,1380,53196,1,0,7.22983877815125,10.881738484533054
4339,1380,53196,1,0,7.22983877815125,10.881738484533054
4340,1380,53196,1,1,7.22983877815125,10.881738484533054
4341,1380,53196,1,0,7.22983877815125,10.881738484533054
4342,1380,53196,1,1,7.22983877815125,10.881738484533054
4343,1380,53196,1,1,7.22983877815125,10.881738484533054
4344,1380,53196,1,0,7.22983877815125,10.881738484533054
4345,1380,53196,1,0,7.22983877815125,10.881738484533054
4346,1380,53196,1,0,7.22983877815125,10.881738484533054
4347,1460,53229,1,0,7.286191714702382,10.88235863959169
4348,1460,53229,1,0,7.286191714702382,10.88235863959169
4349,1460,53229,1,0,7.286191714702382,10.88235863959169
4350,1460,53229,1,0,7.286191714702382,10.88235863959169
4351,1460,53229,1,1,7.286191714702382,10.88235863959169
4352,1460,53229,1,0,7.286191714702382,10.88235863959169
4353,1460,53229,1,0,7.286191714702382,10.88235863959169
4354,1460,53229,1,0,7.286191714702382,10.88235863959169
4355,1460,53229,1,0,7.286191714702382,10.88235863959169
4356,1460,53229,1,0,7.286191714702382,10.88235863959169
4357,1460,53229,1,0,7.286191714702382,10.88235863959169
4358,1460,53229,1,1,7.286191714702382,10.88235863959169
4359,1460,53229,1,0,7.286191714702382,10.88235863959169
4360,1460,53229,1,0,7.286191714702382,10.88235863959169
4361,1460,53229,1,1,7.286191714702382,10.88235863959169
4362,1460,53229,1,0,7.286191714702382,10.88235863959169
4363,1460,53229,1,1,7.286191714702382,10.88235863959169
4364,1460,53229,1,1,7.286191714702382,10.88235863959169
4365,1460,53229,1,0,7.286191714702382,10.88235863959169
4366,1460,53229,1,0,7.286191714702382,10.88235863959169
4367,1460,53229,1,0,7.286191714702382,10.88235863959169
4410,1290,25786,1,0,7.162397497355718,10.157586987970783
4411,1290,25786,1,0,7.162397497355718,10.157586987970783
4412,1290,25786,1,0,7.162397497355718,10.157586987970783
4413,1290,25786,1,0,7.162397497355718,10.157586987970783
4414,1290,25786,1,0,7.162397497355718,10.157586987970783
4415,1290,25786,1,0,7.162397497355718,10.157586987970783
4416,1290,25786,1,1,7.162397497355718,10.157586987970783
4417,1290,25786,1,0,7.162397497355718,10.157586987970783
4418,1290,25786,1,0,7.162397497355718,10.157586987970783
4419,1290,25786,1,0,7.162397497355718,10.157586987970783
4420,1290,25786,1,0,7.162397497355718,10.157586987970783
4421,1290,25786,1,1,7.162397497355718,10.157586987970783
4422,1290,25786,1,0,7.162397497355718,10.157586987970783
4423,1290,25786,1,0,7.162397497355718,10.157586987970783
4424,1290,25786,1,1,7.162397497355718,10.157586987970783
4425,1290,25786,1,0,7.162397497355718,10.157586987970783
4426,1290,25786,1,1,7.162397497355718,10.157586987970783
4427,1290,25786,1,0,7.162397497355718,10.157586987970783
